attenuation_index,attenuation,ampIf
0,7.0,0.4477442277136679
1,7.168926903566657,0.4391204375202437
2,7.341204442230946,0.4304966473268195
3,7.516968228888988,0.4218728571333954
4,7.696362279941891,0.4132490669399712
5,7.879539724284474,0.404625276746547
6,8.06666358867814,0.39600148655312284
7,8.257907669600968,0.38737769635969865
8,8.453457503259294,0.3787539061662745
9,8.653511447329237,0.37013011597285034
10,8.858281890236427,0.36150632577942615
11,9.067996606454969,0.35288253558600197
12,9.282900279508187,0.34425874539257784
13,9.503256218205799,0.33563495519915365
14,9.72934829630627,0.32701116500572946
15,9.961483151443034,0.3183873748123053
16,10.199992686044716,0.3097635846188811
17,10.445236921428332,0.3011397944254569
18,10.6976072666582,0.2925160042320327
19,10.957530276671385,0.2838922140386086
20,11.225471990265767,0.2752684238451844
21,11.5019429587431,0.2666446336517603
22,11.787504101511022,0.2580208434583361
23,12.082773557401786,0.24939705326491188
24,12.388434742062973,0.24077326307148772
25,12.70524587551948,0.23214947287806353
26,13.03405131403984,0.22352568268463938
27,13.37579511253658,0.2149018924912152
28,13.731537366031173,0.206278102297791
29,14.10247404284138,0.19765431210436685
30,14.48996124491643,0.18903052191094266
31,14.895545136830066,0.18040673171751848
32,15.320999211125994,0.17178294152409435
33,15.768371159756455,0.16315915133067016
34,16.240042485361343,0.15453536113724597
35,16.738805247748466,0.1459115709438218
36,17.267962218629172,0.1372877807503976
37,17.831459572024187,0.12866399055697347
38,18.434065680270777,0.12004020036354929
39,19.081616685132005,0.1114164101701251
40,19.781361203450125,0.10279261997670092
41,20.542456441982964,0.09416882978327673
42,21.376703280673006,0.0855450395898526
43,22.299673319899846,0.07692124939642841
44,23.332508965458622,0.06829745920300423
45,24.504945091833235,0.059673669009580044
46,25.86070560364074,0.05104987881615586
47,27.46794001698349,0.04242608862273173
48,29.441675279781094,0.03380229842930754
49,32.0,0.025178508235883346
