pulse_index,pulseSigma_s
0,2e-08
1,2.25e-08
2,2.5e-08
3,2.75e-08
4,3.0000000000000004e-08
5,3.25e-08
6,3.5e-08
7,3.75e-08
8,4e-08
9,4.2500000000000003e-08
10,4.5e-08
11,4.75e-08
12,5.0000000000000004e-08
13,5.25e-08
14,5.5e-08
15,5.75e-08
16,6.000000000000001e-08
17,6.250000000000001e-08
18,6.5e-08
19,6.75e-08
20,6.999999999999999e-08
21,7.25e-08
22,7.5e-08
23,7.75e-08
24,8e-08
25,8.25e-08
26,8.500000000000001e-08
27,8.750000000000001e-08
28,9.000000000000001e-08
29,9.250000000000001e-08
30,9.499999999999999e-08
31,9.749999999999999e-08
32,1e-07
33,1.025e-07
34,1.05e-07
35,1.075e-07
36,1.1e-07
37,1.1250000000000001e-07
38,1.1500000000000001e-07
39,1.1750000000000001e-07
40,1.2e-07
41,1.225e-07
42,1.25e-07
43,1.275e-07
44,1.3e-07
45,1.325e-07
46,1.35e-07
47,1.3749999999999998e-07
48,1.3999999999999998e-07
49,1.4249999999999999e-07
50,1.45e-07
51,1.475e-07
52,1.5e-07
53,1.5249999999999997e-07
54,1.55e-07
55,1.5749999999999997e-07
56,1.6e-07
57,1.6249999999999998e-07
58,1.6499999999999998e-07
59,1.6749999999999998e-07
60,1.7e-07
61,1.725e-07
62,1.75e-07
63,1.775e-07
64,1.7999999999999997e-07
65,1.825e-07
66,1.8499999999999998e-07
67,1.875e-07
68,1.8999999999999998e-07
69,1.9249999999999998e-07
70,1.9499999999999999e-07
71,1.975e-07
72,2e-07
73,2.025e-07
74,2.05e-07
75,2.0749999999999997e-07
76,2.1e-07
77,2.1249999999999998e-07
78,2.1499999999999998e-07
79,2.1749999999999998e-07
80,2.1999999999999998e-07
81,2.225e-07
82,2.25e-07
83,2.275e-07
84,2.3e-07
85,2.325e-07
86,2.3499999999999997e-07
87,2.375e-07
88,2.4e-07
89,2.425e-07
90,2.45e-07
91,2.475e-07
92,2.5e-07
